# EVENTO: Resultados Oficiais
# CAMPEONATO: Campeonato Brasileiro Rally Raid 2025
# RELATORIO: Geral - UTV
# DATA_EMISSAO: ACUMULADO ATÉ Dia 4: Dianopolis/TO - (862km)
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;NUM;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;NO;COLUNA_4;COLUNA_8;COLUNA_11;COLUNA_13;TOTAL DIF.LIDER DIF.ANTERIOR;COLUNA_7;COLUNA_12;COLUNA_10;COLUNA_5;TEMPO;PENAL
4;107;"PEDRO MAC DOWELL (SP)
DANIEL SPOLIDORIO (SP)
Can-Am Maverick R
Qi Racing";;"03:54:29.80
(3)";"02:28:45.92
(5)";"01:10:57.22
(1)";"03:01:15.52
(5)";;;;;;"10:35:28.46
00:02:11.77
00:01:47.75";;;;;11:37:58.46;"00:00:20.00
01:02:50.00"
5;144;"VALENTINA FRANCIOSI (BA)
EGON FRANCIOSI (BA)
Can-Am Maverick R
Cotton Racing";;"04:01:02.31
(9)";"02:31:02.26
(8)";"01:14:04.13
(8)";"03:04:00.97
(6)";;;;;;"10:50:09.67
00:16:52.98
00:14:41.21";;;;;11:50:33.67;"* * *
01:00:24.00"
6;115;"JOÃO FRANCIOSI (BA)
MARCOS PANSTEIN (SC)
Can-Am Maverick R
Cotton Racing";;"04:01:03.00
(10)";"02:31:48.74
(10)";"01:13:55.70
(7)";"03:06:13.43
(8)";;;;;;"10:53:00.87
00:19:44.18
00:02:51.20";;;;;11:54:58.87;"00:01:10.00
01:03:08.00"
7;181;"FILIPE ROCHA (AL)
JOÃO VICTOR RIBEIRO (GO)
Can-Am Maverick R
Cotton Racing";;"03:59:22.12
(8)";"02:37:59.52
(12)";"01:14:57.60
(9)";"03:04:20.40
(7)";;;;;;"10:56:39.64
00:23:22.95
00:03:38.77";;;;;11:57:05.64;"00:01:40.00
01:02:06.00"
8;119;"ANDRÉ HORT (SC)
MARCELO RITTER (RS)
Can-Am Maverick R
Mh Racing";;"03:52:44.71
(1)";"02:29:38.74
(6)";"01:11:09.70
(2)";"05:00:00.00
(10)";;;;;;"12:33:33.15
02:00:16.46
01:36:53.51";;;;;12:35:51.15;"01:00:00.00
01:02:18.00"
9;104;"TOMAS LUZA (BA)
FLAVIO FRANÇA (RN)
Can-Am Maverick R
Cotton Racing";;"03:55:19.99
(5)";"02:27:32.45
(3)";"04:00:00.00
(12)";"03:01:08.86
(4)";;;;;;"13:24:01.30
02:50:44.61
00:50:28.15";;;;;12:56:38.30;"01:30:00.00
01:02:37.00"
10;153;"JAVIER OSVALDO (ARG)
CLAUDIO RIESER (SP)
Can-Am Maverick R
Varela Can-Am Monster Energy";;"06:00:00.00
(11)";"02:35:33.28
(11)";"03:10:34.34
(9)";13:27:23.86;;;;;;;"01:39:38.24
(11)";;;;"01:00:20.00
01:01:58.00";"13:25:45.86
02:52:29.17
00:01:44.56"
11;111;"THIAGO FRAGA (SP)
ALVARO AMARANTE (MG)
Can-Am Maverick R
Dango Racing";;"03:58:46.96
(7)";"02:31:35.06
(9)";"06:30:00.00
(11)";12:47:47.79;;;;;;;"01:15:18.77
(10)";;;;"02:32:00.00
01:04:07.00";"14:15:40.79
03:42:24.10
00:49:54.93"
12;112;"FABIO PIRONDI (SP)
FABIO PEDROSO (SP)
Can-Am Maverick R
Mpr Desempenho";;"08:00:00.00
(12)";"02:29:57.78
(7)";"06:30:00.00
(11)";13:58:50.96;;;;;;;"01:11:35.18
(3)";;;;"05:30:00.00
01:17:18.00";"18:11:32.96
07:38:16.27
03:55:52.17"
1;175;"VINICIUS CASTRO (BA)
BRENO REZENDE (MG)
Can-Am Maverick R
C3 Racing";;"03:54:38.95
(1)";"02:28:50.04
(2)";"01:10:48.24
(1)";"03:00:44.62
(1)";;;;;;10:35:01.85;;;;;11:37:43.85;"* * *
01:02:42.00"
2;155;"GABRIEL VARELA (SP)
MICHAEL MASSON (PR)
Can-Am Maverick R
Varela Can-Am Monster Energy";;"03:56:53.53
(2)";"02:28:22.76
(1)";"01:13:13.48
(2)";"03:02:12.86
(2)";;;;;;"10:40:42.63
00:05:40.78";;;;;11:42:54.63;"00:00:30.00
01:02:42.00"
3;118;"OTAVIO HORT (SC)
IVO MAYER (SC)
Can-Am Maverick R
Mh Racing";;"04:01:10.34
(3)";"02:33:29.66
(3)";"01:13:48.93
(3)";"05:30:00.00
(3)";;;;;;"13:18:28.93
02:43:27.08
02:37:46.30";;;;;12:51:01.93;"01:30:20.00
01:02:53.00"
1;140;"LEONARDO CASTRO (BA)
ROGERIO ALMEIDA (CE)
Polaris RZR Pro R
C3 Racing";;"04:12:58.50
(3)";"02:31:16.63
(1)";"01:14:39.10
(1)";"03:14:41.79
(1)";;;;;;11:13:36.02;;;;;12:16:11.02;"00:00:10.00
01:02:45.00"
2;156;"RODRIGO BIANCHINI (SP)
FABIO ZELLER (SP)
Can-Am Maverick X3
Dango Racing";;"04:09:23.66
(2)";"02:41:41.18
(2)";"01:21:08.26
(2)";"03:38:03.20
(3)";;;;;;"11:50:16.30
00:36:40.28";;;;;12:53:11.30;"00:00:20.00
01:03:15.00"
3;151;"RUI GENGNAGEL (BA)
ANDERSON GERALDI (GO)
Can-Am Maverick X3
Rodada Racing";;"04:02:32.45
(1)";"02:59:24.85
(3)";"01:41:56.18
(3)";"03:27:17.24
(2)";;;;;;"12:11:10.72
00:57:34.70
00:20:54.42";;;;;13:13:06.72;"00:02:00.00
01:03:56.00"
1;126;"RICARDO BASSO (BA)
IRADI BIASUZ (BA)
Can-Am Maverick R
Dango Racing";;"04:05:11.02
(3)";"02:37:35.18
(3)";"01:13:02.03
(2)";"03:06:07.57
(2)";;;;;;11:01:55.80;;;;;11:56:46.80;"00:07:50.00
01:02:41.00"
2;141;"LEANDRO MOKFA (PARA)
GABRIEL DALL AGNOL (PARA)
Can-Am Maverick R
Dango Racing";;"04:01:12.13
(2)";"02:33:01.61
(2)";"01:27:27.06
(5)";"03:05:08.90
(1)";;;;;;"11:06:49.70
00:04:53.90";;;;;12:09:28.70;"00:00:16.00
01:02:55.00"
3;154;"SILMAR NOGUEIRA (BA)
ALYSON ANTUNES (BA)
Can-Am Maverick R
Dango Racing";;"04:13:49.11
(5)";"02:38:30.27
(4)";"01:18:14.89
(3)";"03:07:31.84
(3)";;;;;;"11:18:06.11
00:16:10.31
00:11:16.41";;;;;12:10:11.11;"00:07:52.00
00:59:57.00"
4;170;"TOMAZ SANTOS (SC)
JEFFERSON TEIXEIRA (SC)
Can-Am Maverick R
Hps Rally Team";;"04:09:59.72
(4)";"02:40:43.76
(5)";"01:25:54.48
(4)";"03:11:38.28
(4)";;;;;;"11:28:16.24
00:26:20.44
00:10:10.13";;;;;12:37:19.24;"00:02:20.00
01:11:23.00"
5;110;"JORGE WAGENFUHR (PR)
ENIO BOZZANO (SP)
Can-Am Maverick R
Lifesil / Mrp Performance";;"03:52:32.94
(1)";"02:28:31.85
(1)";"01:12:40.29
(1)";"06:30:00.00
(5)";;;;;;"14:03:45.08
03:01:49.28
02:35:28.84";;;;;12:36:14.08;"02:30:00.00
01:02:29.00"
