Distance,Speed,Throttle,Brake,RPM,nGear
1252.5775959979626,65.62856594285714,44.86071222857143,False,7978.985256228571,1
1252.833611111111,66.0,45.0,False,8010.0,1
1254.6100202411637,69.025,47.475,False,7730.325,1
1259.6780555555554,77.0,54.0,False,6993.0,2
1260.8029733478916,79.2,54.2,False,7169.0,2
1265.544722222222,88.0,55.0,False,7873.0,2
1266.7801400557173,89.02857142857142,49.34285714285714,False,7890.828571428571,2
1271.4922420632413,92.8642816,28.2464512,False,7957.3142144,2
1272.855833333333,94.0,22.0,True,7977.0,2
1274.5700049133884,92.725,17.325,True,7902.8375,2
1280.6780555555554,88.0,0.0,True,7628.0,2
1283.268970380732,86.92,0.0,True,7478.42,2
1285.4558333333332,86.0,0.0,True,7351.0,2
1289.1891666666666,84.0,0.0,False,7174.0,2
1292.095653905999,82.94166613333333,0.0,False,7082.4541205333335,2
1294.6558333333332,82.0,0.0,False,7001.0,2
1296.6417614317115,81.63333333333334,2.5666666666666664,False,7033.633333333333,2
1300.0558333333333,81.0,7.0,False,7090.0,2
1304.6790361810133,81.0,23.121503525782636,False,7231.869231026887,2
1307.2783333333332,81.0,32.0,False,7310.0,2
1308.838181645151,82.11666773333333,33.95416853333333,False,7325.0750144,2
1312.945,85.0,39.0,False,7364.0,2
1313.5895852700496,85.22500053333333,39.56250133333333,False,7452.6502101333335,2
1318.745,87.0,44.0,False,8152.0,2
1319.4185207554663,87.60000142222222,45.050002488888886,False,8206.600129422222,2
1327.3143341753823,94.26666808888889,56.71666915555556,False,8813.266796088888,2
1328.245,95.0,58.0,False,8880.0,2
1338.1800456205235,108.66295288459892,69.84122583331907,False,9739.855168204092,2
1339.2144444444443,110.0,71.0,False,9824.0,2
1345.3892614039669,117.52,32.46,False,9838.1,2
1345.7699999999998,118.0,30.0,True,9839.0,2
1352.487584472947,109.7090909090909,14.454545454545453,True,9265.89090909091,2
1358.2366666666665,102.0,0.0,True,8733.0,2
1358.477766248484,101.80000142222222,0.0,True,8712.225147733334,2
1366.3477076407955,95.13333475555555,0.0,True,8019.725147733333,2
1367.6366666666665,94.0,0.0,True,7902.0,2
1373.2392689538126,88.2750016,0.0,True,7589.9875872,2
1373.5033333333333,88.0,0.0,True,7575.0,2
1379.1699999999998,85.0,0.0,False,7283.0,2
1379.8404153039871,84.78250048,1.2324972799999998,False,7286.18999296,2
1387.0827385778653,82.39,14.79,False,7321.28,2
1388.2811111111112,82.0,17.0,False,7327.0,2
1391.7469664160612,83.58571428571429,31.799999999999997,False,7644.671428571429,2
1394.892222222222,85.0,45.0,False,7928.0,2
1395.5403074512067,85.40499712,45.40499712,False,7932.31996928,2
1399.781111111111,88.0,48.0,False,7960.0,2
1402.5704529062245,91.343744,50.340620799999996,False,8147.249664,2
1407.009527186511,96.375,53.8625,False,8429.0,2
1408.4922222222222,98.0,55.0,False,8520.0,2
1416.8922222222222,108.0,73.0,False,10357.0,2
1417.1123003089358,108.27222471111111,73.19444622222223,False,10347.083242666668,2
1429.0922222222223,122.0,83.0,False,9847.0,2
1429.3934876026483,122.575,83.0,False,9838.975,2
1441.9811111111112,145.0,83.0,False,9526.0,3
1444.7501489145238,146.13333333333333,87.53333333333333,False,10002.0,3
1451.9144444444446,149.0,99.0,False,11206.0,3
1453.153225293512,150.65454545454546,99.0,False,11203.263636363636,3
1473.3033333333333,175.0,99.0,False,11163.0,4
1473.7067578074932,175.32,99.0,False,11185.8,4
1483.4699999999998,183.0,99.0,False,11733.0,4
1484.9240725415327,183.85555555555555,99.0,False,11673.344444444445,4
1493.4121671034059,188.74444444444444,99.0,False,11332.455555555556,4
1502.8700000000001,194.0,99.0,False,10966.0,4
1507.8402350243052,198.0857142857143,99.31428571428572,False,10967.885714285714,4
1518.9699999999998,207.0,100.0,False,10972.0,5
1532.6219267140525,213.31579059338117,100.0,False,11311.789533923906,5
1539.9346203682333,216.63989090568703,100.0,False,11490.626130725963,5
1540.730277777778,217.0,100.0,False,11510.0,5
1555.5969444444443,223.0,100.0,False,11902.0,5
1558.5769698276486,224.1750016,100.0,False,11803.9852832,5
1571.5493412203039,229.1750016,100.0,False,11386.901949866668,5
1586.9302777777777,235.0,100.0,False,10901.0,6
1596.6456785446385,236.84326062078785,100.0,False,10949.846406450877,6
1608.1083333333336,239.0,100.0,False,11007.0,6
1612.764622813472,241.156248,100.0,False,11096.6999168,6
1618.9527777777778,244.0,100.0,False,11215.0,6
1619.4991144870905,244.13333333333333,100.0,False,11223.4,6
1631.9535649910117,247.14999893333334,100.0,False,11413.4499328,6
1635.4861111111113,248.0,100.0,False,11467.0,6
1645.783356137719,249.85,99.38333333333334,False,11513.25,6
1652.2194444444442,251.0,99.0,False,11542.0,6
1662.6303620745643,252.48,99.0,False,11635.24,6
1680.552777777778,255.0,99.0,False,11794.0,6
1684.0013462126917,256.0,99.0,False,11487.4,6
1697.886111111111,260.0,99.0,False,10261.0,7
1698.4664244446874,260.06666666666666,99.0,False,10270.966666666667,7
1713.0886000331266,261.74166613333335,99.0,False,10521.379086933333,7
1715.3527777777776,262.0,99.0,False,10560.0,7
1724.7293538752913,263.28,99.0,False,10612.48,7
1730.0194444444446,264.0,99.0,False,10642.0,7
1742.404777225455,265.4,99.0,False,10714.8,7
1747.7527777777775,266.0,99.0,False,10746.0,7
1749.8412200971088,266.4375,99.0,False,10758.075,7
1771.8416666666665,271.0,99.0,False,10884.0,7
1776.9107295937652,271.47857005714286,99.0,False,10886.153565257142,7
1790.6381124649654,272.77142857142854,99.0,False,10891.971428571429,7
1793.0749999999998,273.0,99.0,False,10893.0,7
1802.7792080724264,274.1906256,99.0,False,10958.8812832,7
1817.6083333333331,276.0,99.0,False,11059.0,7
1825.8589918208727,276.76428434285714,99.0,False,11014.671508114287,7
1829.0259046096292,277.0571428571429,99.0,False,10997.685714285713,7
1839.2305555555554,278.0,99.0,False,10943.0,7
1844.41405558104,278.4187488,99.0,False,11120.5494912,7
1851.6305555555557,279.0,99.0,False,11367.0,7
1861.6442254203116,280.92,99.0,False,11335.64,7
1867.297222222222,282.0,99.0,False,11318.0,7
1879.875,283.0,99.0,False,11335.0,7
1880.5044839959226,283.0285714285714,99.02857142857142,False,11336.771428571428,7
1901.9638888888885,284.0,100.0,False,11397.0,7
1905.771894270296,284.2,100.0,False,11404.2,7
1915.3059676961448,284.7,100.0,False,11422.2,7
1920.9638888888887,285.0,100.0,False,11433.0,7
1948.6638888888888,277.0,0.0,True,10984.0,7
1953.9108546907014,277.0,0.0,True,10982.3250048,7
1964.052777777778,277.0,0.0,True,10979.0,7
1971.3653578398353,260.3090909090909,0.0,True,11029.809090909092,7
1981.7489271702334,232.4909090909091,0.0,True,11114.49090909091,7
1989.5972222222222,209.0,0.0,True,11186.0,7
2000.221094498398,181.13964642627775,0.0,True,11487.34668151169,7
2007.4194444444445,160.0,0.0,True,11716.0,4
2008.4792652363099,157.85226763636365,0.0,True,11647.456655709091,4
2017.8194344453639,137.17044945454546,0.0,True,10987.411201163637,4
2022.697222222222,125.0,0.0,True,10599.0,2
2024.7045706028402,121.0409053090909,0.0,True,10256.690582109091,2
2030.7771284015453,108.0409053090909,0.0,True,9132.690582109091,2
2034.797222222222,99.0,0.0,True,8351.0,2
2039.6054461393448,93.52301214446537,0.0,True,7906.58155686519,2
2040.905,92.0,0.0,True,7783.0,2
2044.99082322002,88.3785728,0.0,True,7399.1287168,2
2047.5938888888888,86.0,0.0,True,7147.0,2
2049.6263292891713,84.53333333333333,0.0,True,7041.4,2
2053.0605555555553,82.0,0.0,True,6859.0,2
2054.120666835476,81.14285714285714,0.0,True,6788.028571428571,2
2059.0494444444444,77.0,0.0,True,6445.0,2
2063.1328631477318,72.35555697777778,0.0,True,6098.988994844444,2
2065.9494444444445,69.0,0.0,True,5849.0,2
2069.374533723596,67.12,7.05,True,5799.18,2
2072.2598449248694,65.51000064,13.087497599999999,True,5756.51501696,2
2073.1716666666666,65.0,15.0,False,5743.0,2
2075.4556845208313,65.96,22.04,False,5929.24,2
2080.7272222222223,68.0,37.0,False,6325.0,2
2081.78998928667,69.7625024,38.58970804705882,False,6420.486159435294,2
2087.959802621314,78.7625024,46.70735510588235,False,6908.074394729412,2
2121.5851014574832,114.8,79.21176470588236,False,8860.458823529412,2
2125.682777777778,119.0,83.0,False,9088.0,3
2131.8380081629475,128.8,85.8,False,9835.6,3
2134.5494444444444,133.0,87.0,False,10156.0,3
2141.1558502224307,140.7,94.7,False,10378.6,3
2144.1494444444443,144.0,98.0,False,10474.0,3
2149.7500997677275,151.11111111111111,98.35555555555555,False,10545.111111111111,3
2160.5494444444444,164.0,99.0,False,10674.0,3
2172.4476246882323,171.97142857142856,99.88571428571429,False,11047.771428571428,3
2174.005,173.0,100.0,False,11096.0,4
2181.269896826151,176.2888888888889,100.0,False,11449.144444444444,4
2192.105,181.0,100.0,False,11955.0,4
2193.6026922145134,182.53615984617014,100.0,False,11875.608466132024,4
2212.8093440430425,201.18952940680768,100.0,False,10911.568412020893,4
2214.716944444445,203.0,100.0,False,10818.0,5
2224.0058333333336,209.0,100.0,False,11105.0,5
2233.7344978441765,210.1928576,100.0,False,11378.1643904,5
2240.4169444444447,211.0,100.0,False,11563.0,5
2251.8231739610496,217.04285714285714,100.0,False,11683.185714285713,5
2257.528055555556,220.0,100.0,False,11742.0,5
2271.8832539445802,221.8916672,41.988872533333335,False,12016.922299733333,5
2279.828055555556,223.0,8.0,True,12178.0,5
2282.4737743261917,216.18499072,6.11999744,True,11848.999552,5
2290.6058333333335,194.0,0.0,True,10778.0,5
2298.0134790563457,183.70999552,0.73500032,True,10935.29006848,5
2300.6058333333335,180.0,1.0,True,10992.0,5
2315.8237498951185,168.15877416668093,4.643454102559714,True,10394.473527180207,5
2317.259444444445,167.0,5.0,True,10336.0,4
2326.4531231835485,161.1218768,29.1656176,True,10052.5438368,4
2331.303888888889,158.0,42.0,False,9902.0,4
2346.6691325934235,158.96666666666667,67.13333333333333,False,10181.366666666667,4
2347.203888888889,159.0,68.0,False,10191.0,4
2356.203888888889,162.0,78.0,False,10492.0,4
2358.412617669522,163.5,78.6,False,10605.4,4
2363.6261111111116,167.0,80.0,False,10870.0,4
2371.523541161378,169.52,85.88,False,11079.16,4
2373.0705555555564,170.0,87.0,False,11119.0,4
2383.1261111111116,181.0,100.0,False,11509.0,4
2385.5579313663093,182.5666688,100.0,False,11421.854048,4
2390.856848521142,185.93333333333334,100.0,False,11234.583333333334,4
2395.7261111111115,189.0,100.0,False,11064.0,4
2403.621320885219,191.96,100.0,False,10550.44,4
2406.4483333333337,193.0,100.0,False,10370.0,5
2413.5117553251885,197.53571657142857,100.0,False,10602.228688457142,5
2422.2372222222225,203.0,100.0,False,10882.0,5
2425.0011703097925,204.05,100.0,False,10930.3,5
2440.1934959690325,209.7375,100.0,False,11191.925,5
2440.903888888889,210.0,100.0,False,11204.0,5
2450.4594444444447,215.0,89.0,True,11086.0,5
2450.941913802034,215.13333333333333,88.56666666666666,True,11041.333333333334,5
2465.0594444444446,219.0,76.0,False,9746.0,6
2467.969899716034,218.8,75.6,False,9806.2,6
2479.592777777778,218.0,74.0,False,10047.0,6
2482.5241381310507,218.72,74.72,False,10073.16,6
2491.8705555555557,221.0,77.0,False,10156.0,6
2499.7760554773176,222.28,87.88,False,10303.84,6
2504.2594444444444,223.0,94.0,False,10387.0,6
2506.0132374798277,223.56,94.7,False,10384.76,6
2516.8705555555557,227.0,99.0,False,10371.0,6
2518.638581808739,227.175,99.0,False,10371.0,6
2527.003888888889,228.0,99.0,False,10371.0,6
2533.988445187609,230.7,99.38571428571429,False,10710.42857142857,6
