# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Combinado-Acumulado_Ate_D4-UTV-Jalapao25-Of-v1.pdf
# INFO_GERAL: XI RALLY JALAPAO 20/06/2025 - 09:19:38 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ Dia 4: Sao Felix do Tocantins/TO - Palmas/TO (740.36km) Geral - UTV | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12
1;102;RODRIGO VARELA (SP) MATHEUS MAZZEI (MG) Can-Am Maverick R Varela Can-Am Monster Energy;02:45:09.88 (1);02:11:31.77 (2);02:00:30.96 (1);08:21:03.62;08:20:34.62;(1)UTU;01:23:22.01 (1);* * * 00:00:29.00;;;;;;;;;;;;
2;103;BRUNO VARELA (SP) ARI FIUZA (CE) Can-Am Maverick R Varela Can-Am Monster Energy;02:45:14.28 (2);02:10:53.32 (1);02:03:11.63 (8);08:23:18.59;08:22:56.59 00:02:21.97;(2)UTU;01:23:37.36 (2);* * * 00:00:22.00;;;;;;;;;;;;
1;153;GABRIEL VARELA (SP) MICHAEL MASSON (SC) Can-Am Maverick R Varela Can-Am Monster Energy;02:49:05.97 (1);02:13:16.93 (1);02:11:51.21 (5);08:36:21.88;08:39:20.88;;01:25:06.77 (1);00:03:10.00 00:00:11.00;;;;;;;;;;;;
2;168;VINICIUS CASTRO (BA) LOURIVAL ROLDAN (SP) Can-Am Maverick R C3 Racing - Cotton Racing;02:50:40.13 (2);02:14:47.14 (2);02:08:58.11 (1);08:45:37.93;08:44:51.93 00:05:31.05;;01:30:26.55 (4);* * * 00:00:46.00;;;;;;;;;;;;
3;138;MILTON JUNIOR (AL) LEONARDO MAGALHAES (MG) Can-Am Maverick R Cotton Racing;02:52:37.24 (4);02:19:20.43 (6);02:12:30.84 (7);08:53:34.67;08:53:33.67 00:14:12.79 00:08:41.74;;01:29:05.16 (2);00:00:12.00 00:00:13.00;;;;;;;;;;;;
4;118;OTAVIO HORT FILHO (SC) IVO MEYER (SC) Can-Am Maverick R Hps Racing;02:52:58.57 (5);02:17:51.49 (3);02:11:16.71 (4);08:55:15.86;08:55:03.86 00:15:42.98 00:01:30.19;;01:32:57.09 (5);* * * 00:00:12.00;;;;;;;;;;;;
5;134;RODRIGO VILHENA (AM) PAULO MEDINA (AM) Can-Am Maverick R Dango Racing;03:01:45.74 (7);02:22:37.95 (7);02:10:10.83 (3);09:10:03.31;09:09:56.31 00:30:35.43 00:14:52.45;;01:35:21.79 (6);00:01:20.00 00:01:27.00;;;;;;;;;;;;
6;162;RICARDO SANTOS (SP) ROBSON SCHUINKA (PR) Can-Am Maverick R Hps Racing;03:14:52.44 (9);02:24:50.41 (8);02:10:10.62 (2);09:31:16.79;09:31:15.79 00:51:54.91 00:21:19.48;;01:41:22.32 (7);00:00:06.00 00:00:07.00;;;;;;;;;;;;
7;125;THIAGO TORRES (SP) EDUARDO SHIGA (SP) Can-Am Maverick R T+A Rally Team;02:57:18.58 (6);02:37:12.62 (9);02:32:01.66 (9);11:02:56.86;14:06:32.86 05:27:11.98 04:35:17.07;;06:00:00.00 (8);03:03:46.00 00:00:10.00;;;;;;;;;;;;
8;169;DOUGLAS CARASSA (PR) CLAUDIO RIESER (SP) Can-Am Maverick R Varela Can-Am Monster Energy;03:06:48.40 (8);07:25:00.00 (10);02:12:01.57 (6);10:25:41.26;14:13:47.26 05:34:26.38 00:07:14.40;;01:29:57.29 (3);03:48:12.00 00:00:06.00;;;;;;;;;;;;
9;146;MICHEL FALQUEIRO (SP) IGOR DE CARVALHO (PR) Can-Am Maverick R Varela Can-Am Monster Energy;06:40:00.00 (10);02:19:11.34 (5);02:14:37.42 (8);12:13:53.76;17:13:48.76 08:34:27.88 03:00:01.50;;06:00:00.00 (8);05:00:00.00 00:00:05.00;;;;;;;;;;;;
10;137;TATA XAVIER (AL) ERICK SHARPEY (MG) Polaris RZR Pro R Cotton Racing - Polaris;02:51:33.96 (3);02:18:33.10 (4);11:50:00.00 (10);12:39:57.06;27:20:07.06 18:40:46.18 10:06:18.30;;10:20:00.00 (10);14:40:10.00 * * *;;;;;;;;;;;;
1;143;RODRIGO BIANCHINI (SP) FABIO ZELLER (SP) Can-Am Maverick X3 Erp Motorsports;03:05:32.48 (4);02:26:06.49 (2);02:11:56.30 (3);09:24:24.43;09:30:58.43;;01:47:23.16 (1);00:06:36.00 00:00:02.00;;;;;;;;;;;;
2;159;CRISTIAN SCHERER (TO) TOMAS VIZZOTO (TO) Polaris RZR Pro R Ghs Grandtec Racing;03:03:39.70 (3);02:32:37.94 (3);03:05:05.05 (4);10:33:35.23;10:39:39.23 01:08:40.80;;01:58:16.54 (2);00:06:27.00 00:00:23.00;;;;;;;;;;;;
3;139;DONI MENEGAS (TO) CAMILO CARRIAO (TO) Polaris RZR Pro R Ghs Grandtec Racing;02:59:12.98 (2);03:42:53.22 (5);02:08:22.24 (2);11:48:50.44;15:20:28.44 05:49:30.01 04:40:49.21;;06:30:00.00 (5);03:36:00.00 00:04:22.00;;;;;;;;;;;;
