# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado_Ate_D6-Geral_Motos-Sertoes25-Of-v1.pdf
# INFO_GERAL: SERTOES PETROBRAS 02/08/2025 - 21:09:28 | Resultados Oficiais | Campeonato Brasileiro Rally Raid 2025 | Geral - Motos e Quadriciclos | ACUMULADO ATÉ Dia 6: Petrolina/PE - Delmiro Gouveia/AL (1700.65km) | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;DIA 5;DIA 6;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12;COL_13;COL_14
11;41;CRISPY ARRIEGADA (ARG) KTM ADVENTURE 890 R DM WORKSHOP;05:01:59.96 (35);04:14:38.91 (11);05:18:06.02 (12);27:57:18.70;28:00:10.73 02:41:07.55 00:01:23.30;(4)MT1;05:24:18.66 (10);04:09:57.06 (12);03:51:10.12 (9);00:10:03.00 00:07:11.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;12;40;AUGUSTO SARTORI (BRA) HONDA CRF TXAI EXPERIENCE;(3)MT2;04:36:46.44 (16);04:17:48.76 (15);05:27:19.31 (19);05:27:38.40 (12);04:10:15.98 (13);04:08:38.16 (18);28:15:19.00;* * * 00:06:52.00;28:08:27.05 02:49:23.87 00:08:16.32;
;;;;;;;;;;;;;13;23;ROMAIN DUMONTIER (FRA) HONDA CRF 450RX HONDA RACING;(5)MT1;04:08:38.17 (5);03:52:53.75 (3);04:58:35.26 (2);05:07:50.18 (2);03:54:35.37 (2);06:10:00.00 (44);27:19:18.73;01:00:00.00 00:06:46.00;28:12:32.73 02:53:29.55 00:04:05.68;
;;;;;;;;;;;;;14;17;CESAR PEDUTI (BRA) HUSQVARNA FE 501 BIANCHINI RALLY;(4)MT2;04:39:05.96 (18);04:25:42.74 (20);05:21:10.49 (13);05:35:43.54 (18);04:09:49.25 (11);04:04:48.09 (14);28:22:53.00;00:00:12.00 00:06:45.00;28:16:20.07 02:57:16.89 00:03:47.34;
;;;;;;;;;;;;;15;39;HENILTON ROQUE (BRA) GASGAS EC 500F TXAI EXPERIENCE;(5)MT2;04:43:41.07 (19);04:18:15.01 (16);05:28:29.77 (20);05:35:50.65 (19);04:10:25.25 (14);04:04:08.76 (12);28:28:03.50;* * * 00:07:13.00;28:20:50.51 03:01:47.33 00:04:30.44;
;;;;;;;;;;;;;16;12;JOAO FORNAZARI (BRA) GASGAS RALLY REPLICA DM WORKSHOP;(6)MT2;04:36:12.69 (15);04:19:10.36 (17);05:23:40.99 (16);05:50:32.99 (27);04:13:06.07 (18);04:08:27.73 (17);28:59:36.80;00:00:31.00 00:28:57.00;28:31:10.83 03:12:07.65 00:10:20.32;
;;;;;;;;;;;;;17;46;FLAVIANO TIEPO (BRA) YAMAHA WR 450F YAMAHA IMS BLU CRU RALLY TEAM;(2)MT3;04:48:51.95 (23);04:19:56.50 (18);05:25:11.11 (18);05:30:21.59 (14);04:14:42.18 (22);04:12:57.54 (19);28:35:25.80;00:03:57.00 00:07:22.00;28:32:00.87 03:12:57.69 00:00:50.04;
;;;;;;;;;;;;;18;28;RODRIGO SALLUM (BRA) KTM 450 RALLY REPLICA DM WORKSHOP;(6)MT1;04:45:41.24 (20);04:26:41.48 (22);05:17:23.20 (10);05:39:26.76 (21);04:12:00.04 (15);04:13:05.17 (20);28:31:28.80;00:09:48.00 00:06:59.00;28:34:17.89 03:15:14.71 00:02:17.02;
;;;;;;;;;;;;;19;61;MARCELO MEDEIROS (BRA) YAMAHA RAPTOR 700R MEDS RACING;(1)QDA;04:33:16.33 (11);04:29:59.83 (23);05:22:47.55 (15);05:34:34.06 (17);04:20:28.63 (30);04:19:59.52 (23);28:48:05.90;* * * 00:07:00.00;28:41:05.92 03:22:02.74 00:06:48.03;
;;;;;;;;;;;;;20;54;MISAEL AMARIZ (BRA) GASGAS EC 450F TXAI EXPERIENCE;(3)MT3;04:51:20.97 (26);04:26:38.00 (21);05:47:49.09 (36);05:35:57.60 (20);04:12:33.25 (16);04:05:55.97 (15);29:07:04.80;00:00:10.00 00:07:00.00;29:00:14.88 03:41:11.70 00:19:08.96;
;;;;;;;;;;;;;21;52;MOISES MARK (BRA) KTM EXC 450F TXAI EXPERIENCE;(4)MT3;04:48:03.25 (22);04:22:26.27 (19);05:44:53.35 (32);05:55:18.25 (32);04:14:44.79 (23);04:07:32.54 (16);28:50:50.40;00:29:21.00 00:07:13.00;29:12:58.45 03:53:55.27 00:12:43.57;
;;;;;;;;;;;;;22;31;MICHEL ZUCHELLI (BRA) HONDA CRF 450RX SELF / TXAI;(5)MT3;04:47:41.76 (21);04:30:59.20 (24);05:32:50.94 (22);05:54:29.26 (31);04:16:53.72 (27);04:26:07.44 (28);29:36:04.30;* * * 00:07:02.00;29:29:02.32 04:09:59.14 00:16:03.87;
;;;;;;;;;;;;;23;51;CESAR BOGO (BRA) HUSQVARNA FE 501 BIANCHINI RALLY;(4)MOV;04:54:56.30 (30);04:45:16.43 (33);05:32:59.16 (23);05:46:22.14 (25);04:14:04.38 (20);04:23:50.63 (26);29:29:29.00;00:16:32.00 00:08:32.00;29:37:29.04 04:18:25.86 00:08:26.72;
;;;;;;;;;;;;;24;26;FELIPE ROCHA (BRA) KTM EXC 350F SELF / TXAI;(6)MT3;04:58:54.65 (32);04:51:38.48 (36);05:46:04.78 (34);05:31:24.49 (16);04:07:39.18 (9);04:25:29.62 (27);29:25:10.20;00:47:46.00 00:31:45.00;29:41:11.20 04:22:08.02 00:03:42.16;
;;;;;;;;;;;;;25;25;MOARA SACILOTTI (BRA) KAWASAKI KX 450X PODUIM RACING;(5)MOV;04:51:00.12 (25);04:41:15.88 (31);05:40:01.75 (27);05:51:40.48 (29);04:19:18.19 (28);04:20:24.76 (24);29:50:46.10;* * * 00:07:05.00;29:43:41.18 04:24:38.00 00:02:29.98;
;;;;;;;;;;;;;26;55;PAULO ESCOBAR (BRA) HONDA CRF 450RX PODUIM RACING;(6)MOV;05:01:40.80 (34);04:37:06.20 (30);05:41:05.32 (28);05:59:13.46 (36);04:13:14.56 (19);04:19:06.20 (22);29:38:09.50;00:23:51.00 00:10:34.00;29:51:26.54 04:32:23.36 00:07:45.36;
;;;;;;;;;;;;;27;53;JOAO RICARDO (BRA) HONDA CRF 450RX SELF / TXAI;(7)MT3;04:59:24.39 (33);04:45:39.43 (34);05:58:07.20 (39);05:53:15.56 (30);04:19:33.77 (29);04:22:15.44 (25);30:19:28.70;00:21:00.00 00:22:13.00;30:18:15.79 04:59:12.61 00:26:49.25;
;;;;;;;;;;;;;28;32;RICARDO ZAPPELINI (BRA) GASGAS RX 450F DM WORKSHOP;(7)MOV;05:16:02.98 (42);04:53:15.07 (40);05:42:04.06 (30);05:51:12.31 (28);04:20:53.62 (31);04:29:59.64 (31);30:36:43.60;00:04:00.00 00:07:16.00;30:33:27.68 05:14:24.50 00:15:11.89;
;;;;;;;;;;;;;29;19;ANDRE MOOR (BRA) GASGAS 500 TC DM WORKSHOP;(7)MT1;05:04:24.06 (36);04:52:58.79 (38);05:41:26.45 (29);05:56:58.10 (34);04:24:00.34 (33);04:37:21.48 (35);30:44:19.20;00:01:13.00 00:08:23.00;30:37:09.22 05:18:06.04 00:03:41.54;
;;;;;;;;;;;;;30;27;ALEXANDRE NAJAR (BRA) YAMAHA WR 450F SELF / TXAI;(8)MOV;05:11:10.67 (39);04:51:58.96 (37);05:39:46.63 (26);05:59:10.76 (35);04:13:05.71 (17);04:50:29.12 (38);30:15:29.80;00:37:28.00 00:07:16.00;30:45:41.85 05:26:38.67 00:08:32.63;
;;;;;;;;;;;;;31;4;GABRIEL SOARES (BRA) YAMAHA WR 450F YAMAHA IMS RALLY TEAM;(8)MT1;04:08:08.46 (4);04:00:05.05 (5);07:10:00.00 (46);05:10:18.39 (4);03:54:37.69 (3);06:40:00.00 (46);28:40:12.50;02:30:03.00 00:07:06.00;31:03:09.59 05:44:06.41 00:17:27.74;
;;;;;;;;;;;;;32;20;CHRISTIAN COSTANTINI (BRA) HONDA CRF 250F SELF / TXAI;(2)MBR;05:10:13.69 (38);05:00:13.23 (42);05:46:06.66 (35);05:55:33.03 (33);04:28:44.30 (34);04:48:10.95 (37);31:13:38.80;00:02:24.00 00:07:01.00;31:09:01.86 05:49:58.68 00:05:52.27;
;;;;;;;;;;;;;33;63;HELIO PESSOA (BRA) YAMAHA RAPTOR 700R FIFTH AVENUE RACING;(2)QDA;04:54:42.52 (29);04:44:19.10 (32);06:45:15.00 (45);05:50:08.30 (26);04:35:38.61 (37);04:34:11.07 (32);31:07:10.60;00:36:00.00 00:18:56.00;31:24:14.60 06:05:11.42 00:15:12.74;
;;;;;;;;;;;;;34;62;FELIPE DIAS VIANA (BRA) YAMAHA RAPTOR 700R VF RALLY TEAM;(3)QDA;05:14:34.97 (41);04:34:33.69 (26);05:52:57.56 (38);06:01:27.22 (37);04:44:09.38 (40);05:10:00.00 (41);32:06:37.80;00:00:15.00 00:29:10.00;31:37:42.82 06:18:39.64 00:13:28.22;
;;;;;;;;;;;;;35;48;DANIEL FIGUEIREDO (BRA) HUSQVARNA FE 450 DM WORKSHOP;(8)MT3;05:52:43.00 (47);04:49:34.80 (35);05:42:39.84 (31);06:05:34.17 (39);04:21:13.37 (32);04:46:06.63 (36);31:12:08.80;00:33:00.00 00:07:17.00;31:37:51.81 06:18:48.63 00:00:08.99;
;;;;;;;;;;;;;36;49;ITACIR RABAIOLLI (BRA) KAWASAKI KLX 450R SELF / TXAI;(9)MT3;04:53:47.96 (28);05:31:00.06 (44);05:35:53.44 (25);05:42:34.95 (24);07:27:51.76 (46);04:29:52.69 (30);29:13:46.80;04:34:07.00 00:06:53.00;33:41:00.86 08:21:57.68 02:03:09.05;
;;;;;;;;;;;;;37;42;CLAUDERSON LOPES (BRA) HONDA CRF 450RX SELF / TXAI;(9)MOV;05:22:56.12 (43);05:30:00.00 (43);06:40:00.00 (40);07:01:00.00 (44);04:35:24.59 (36);05:02:30.33 (40);32:25:10.00;01:54:00.00 00:07:19.00;34:11:51.04 08:52:47.86 00:30:50.18;
;;;;;;;;;;;;;38;47;ALESSANDER LOURENCAO (BRA) KAWASAKI KLX 450R DM WORKSHOP;(10)MOV;05:52:51.00 (49);04:57:33.44 (41);05:45:02.30 (33);06:03:34.08 (38);04:53:07.24 (41);06:40:00.00 (46);32:06:53.00;02:12:24.00 00:07:09.00;34:12:08.06 08:53:04.88 00:00:17.02;
;;;;;;;;;;;;;39;34;TOMAZ SANTOS (BRA) BMW F900GS PRO MSL MOTORSPORT;(9)MT1;05:52:41.00 (46);05:40:24.00 (46);06:40:00.00 (40);06:40:00.00 (40);04:38:43.39 (38);05:10:00.00 (41);32:36:43.30;02:12:24.00 00:07:19.00;34:41:48.39 09:22:45.21 00:29:40.33;
;;;;;;;;;;;;;40;21;IZAC ANDRADE (BRA) HONDA CRF 250F DUST RALLY TEAM;(3)MBR;05:52:16.00 (45);06:00:00.00 (47);06:40:00.00 (40);06:40:00.00 (40);04:43:41.29 (39);05:00:44.18 (39);32:34:22.40;02:30:03.00 00:07:44.00;34:56:41.47 09:37:38.29 00:14:53.08;
;;;;;;;;;;;;;41;44;RAFAEL KRUKOSKI (BRA) DUCATI DESERT X MSL MOTORSPORT;(11)MOV;05:56:45.00 (51);07:30:00.00 (52);06:40:00.00 (40);06:40:00.00 (40);05:25:00.00 (43);05:10:00.00 (41);32:50:00.00;04:41:00.00 00:09:15.00;37:21:45.00 12:02:41.82 02:25:03.53;
;;;;;;;;;;;;;42;33;JOSEMAR FERRO (BRA) KAWASAKI KLX 450R DM WORKSHOP;(12)MOV;04:52:55.82 (27);06:30:00.00 (50);12:40:00.00 (51);05:42:08.84 (23);04:16:20.58 (26);04:19:01.99 (21);30:30:27.20;08:00:00.00 00:10:00.00;38:20:27.23 13:01:24.05 00:58:42.23;
;;;;;;;;;;;;;43;37;DANILO SCHNETZLER (BRA) DUCATI DESERT X SELF / TXAI;(10)MT1;08:04:49.00 (52);05:32:00.00 (45);06:40:00.00 (40);06:40:00.00 (40);05:20:00.00 (42);06:10:00.00 (44);32:50:00.00;05:44:34.00 00:07:45.00;38:26:49.00 13:07:45.82 00:06:21.77;
;;;;;;;;;;;;;44;14;THIAGO FEITOSA (BRA) HONDA XR 300L TORNADO SELF / TXAI;(4)MBR;05:12:41.27 (40);04:53:14.07 (39);05:48:53.29 (37);13:40:00.00 (47);04:33:04.21 (35);04:35:01.92 (33);31:14:20.70;07:36:00.00 00:07:26.00;38:42:54.76 13:23:51.58 00:16:05.76;
;;;;;;;;;;;;;45;65;VICTOR STUDART (BRA) YAMAHA RAPTOR 700R VF RALLY TEAM;(4)QDA;05:09:09.12 (37);04:36:47.79 (29);05:34:47.40 (24);05:40:06.69 (22);06:20:00.00 (44);11:40:00.00 (49);31:19:42.00;08:01:42.00 00:20:33.00;39:00:51.00 13:41:47.82 00:17:56.24;
;;;;;;;;;;;;;46;11;BRUNO CRIVILIN (BRA) HONDA CRF 450RX HONDA RACING;(7)MT2;04:07:09.26 (3);04:13:07.14 (9);04:58:42.14 (3);12:40:00.00 (46);11:20:00.00 (47);03:36:18.56 (4);28:01:25.10;13:00:30.00 00:06:38.00;40:55:17.10 15:36:13.92 01:54:26.10;
;;;;;;;;;;;;;47;18;TIAGO FANTOZZI (BRA) BMW F900GS PRO PODUIM RACING;(11)MT1;13:50:00.00 (53);04:35:36.96 (28);05:32:32.36 (21);10:54:24.13 (45);04:16:14.73 (25);04:27:35.03 (29);30:09:20.20;13:27:03.00 * * *;43:36:23.21 18:17:20.03 02:41:06.11;
;;;;;;;;;;;;;48;38;RAFAEL GAERTNER (BRA) YAMAHA WR 450F YAMAHA IMS BLU CRU RALLY TEAM;(13)MOV;04:50:12.55 (24);04:32:40.75 (25);07:40:00.00 (47);17:40:00.00 (48);11:20:00.00 (47);04:36:18.44 (34);31:10:10.70;19:36:36.00 00:07:35.00;50:39:11.74 25:20:08.56 07:02:48.53;
;;;;;;;;;;;;;49;64;WESCLEY DUTRA (BRA) YAMAHA RAPTOR 700R QUADRI RACING;(5)QDA;04:58:29.96 (31);04:35:13.35 (27);07:40:00.00 (47);17:40:00.00 (48);11:20:00.00 (47);11:40:00.00 (49);31:59:57.30;26:01:10.00 00:07:24.00;57:53:43.31 32:34:40.13 07:14:31.57;
;;;;;;;;;;;;;50;43;ADRIANO GALANTE (BRA) DUCATI DESERT X DM WORKSHOP / DUCATI;(14)MOV;05:54:29.72 (50);06:30:00.00 (50);07:40:00.00 (47);17:40:00.00 (48);11:20:00.00 (47);11:40:00.00 (49);32:51:41.70;28:00:00.00 00:07:12.00;60:44:29.72 35:25:26.54 02:50:46.41;
;;;;;;;;;;;;;51;13;JANAINA SOUZA (BRA) YAMAHA TENERE 700 YAMAHA IMS BLU CRU RALLY TEAM;;(12)MT1;05:41:51.36 (44);06:00:00.00 (47);08:40:00.00 (50);17:40:00.00 (48);11:20:00.00 (47);11:40:00.00 (49);32:38:13.30;28:31:00.00 00:07:22.00;61:01:51.36 35:42:48.18 00:17:21.64
;;;;;;;;;;;;;52;35;MARCOS R MORAES (BRA) YAMAHA WR 450F YAMAHA IMS BLU CRU RALLY TEAM;;(10)MT3;04:35:39.07 (14);06:00:00.00 (47);12:40:00.00 (51);17:40:00.00 (48);11:20:00.00 (47);11:40:00.00 (49);31:59:28.00;32:03:00.00 00:06:49.00;63:55:39.07 38:36:35.89 02:53:47.71
;;;;;;;;;;;;;53;45;EMERSON PEREIRA (BRA) KAWASAKI KLX 450R DM WORKSHOP;;(11)MT3;05:52:50.00 (48);11:30:00.00 (53);12:40:00.00 (51);17:40:00.00 (48);11:20:00.00 (47);06:40:00.00 (46);32:50:00.00;33:00:00.00 00:07:10.00;65:42:50.00 40:23:46.82 01:47:10.93
