# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado_ate_D6-Geral_UTV-Sertoes25-ExOf-v2.pdf
# INFO_GERAL: SERTOES PETROBRAS 02/08/2025 - 20:33:02 | Resultados Oficiais | Campeonato Brasileiro Rally Raid 2025 | Geral - UTV | ACUMULADO ATÉ Dia 6: Petrolina/PE - Delmiro Gouveia/AL (1676.9km) | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;DIA 5;DIA 6;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12;COL_13;COL_14
;;;;;;;;;;;;;28;134;DIOGO CAVALCANTE (BRA) ARTUR CARVALHO (BRA) CAN-AM MAVERICK R KADOO RACING;(7)UT1;04:29:14.83 (45);04:26:40.87 (46);05:15:13.63 (38);05:32:57.63 (44);04:06:46.26 (42);04:38:25.42 (42);28:29:21.60;00:08:00.00 00:08:03.00;28:29:18.64 03:17:29.32 00:34:55.85;
;;;;;;;;;;;;;29;181;FILIPE PEREIRA ROCHA (BRA) JOAO VICTOR RIBEIRO (BRA) CAN-AM MAVERICK R COTTON RACING;(13)ULT;04:10:23.26 (16);04:02:20.27 (17);07:40:00.00 (54);05:18:38.66 (22);04:01:39.88 (24);03:22:13.51 (18);27:11:50.58;01:30:21.00 00:06:56.00;28:35:15.58 03:23:26.26 00:05:56.94;
;;;;;;;;;;;;;30;103;BRUNO VARELA (BRA) ARI FIUZA (BRA) CAN-AM MAVERICK R VARELA CANAN MONSTER ENERGY;(14)ULT;04:00:04.08 (2);03:51:37.92 (2);07:10:00.00 (53);05:06:47.40 (3);03:56:50.60 (3);04:30:35.77 (41);27:42:51.77;01:00:00.00 00:06:56.00;28:35:55.77 03:24:06.45 00:00:40.19;
;;;;;;;;;;;;;31;149;IVAN KUNHEM (BRA) HUMBERTO RIBEIRO (BRA) CAN-AM MAVERICK R VIGIFORT RACING;(5)UOP;06:30:00.00 (58);04:04:09.53 (23);05:09:14.10 (26);05:25:31.25 (35);04:06:40.68 (40);03:28:13.41 (26);27:42:30.97;01:03:10.00 00:01:52.00;28:43:48.97 03:31:59.65 00:07:53.20;
;;;;;;;;;;;;;32;168;MARCELO ROMCY (BRA) WILLIAN SANTOS (BRA) CAN-AM MAVERICK R CACA LEGUAS;(6)UOP;04:18:09.96 (32);04:03:01.96 (19);05:14:59.25 (37);05:29:34.51 (41);04:03:11.00 (29);06:10:00.00 (45);28:25:17.60;01:00:33.00 00:06:54.00;29:18:56.68 04:07:07.36 00:35:07.71;
;;;;;;;;;;;;;33;137;TATA XAVIER (BRA) NEURY CALADO (BRA) POLARIS RZR PRO R COTTON RACING;(8)UT1;04:24:45.13 (40);06:30:00.00 (55);05:10:58.26 (32);05:51:27.89 (51);03:59:58.32 (19);03:24:57.04 (23);27:59:11.60;01:30:00.00 00:07:05.00;29:22:06.64 04:10:17.32 00:03:09.96;
;;;;;;;;;;;;;34;133;LUIZ PARENTE (BRA) RICARDO AMORIM (BRA) CAN-AM MAVERICK X3 SMART RALLY TEAM;(2)U50;04:16:24.05 (28);06:30:00.00 (55);05:09:56.95 (30);05:27:15.95 (38);04:26:43.28 (55);03:33:58.51 (34);28:00:55.70;01:30:20.00 00:06:57.00;29:24:18.74 04:12:29.42 00:02:12.10;
;;;;;;;;;;;;;35;162;FABIO BEAL (BRA) JUNIOR MENDON?A (BRA) CAN-AM MAVERICK X3 FOUR RALLY TEAM;(1)UT3;04:17:55.59 (29);04:33:55.77 (48);07:40:00.00 (54);05:31:53.07 (43);04:08:05.27 (44);03:33:42.46 (32);28:07:38.10;01:45:00.00 00:07:06.00;29:45:32.16 04:33:42.84 00:21:13.42;
;;;;;;;;;;;;;36;128;RUFINO NETO (BRA) RENAN FELIX (BRA) CAN-AM MAVERICK PROHOSPITAL RALLY TEAM;(3)U50;04:14:47.84 (23);04:11:13.89 (40);05:11:58.04 (34);05:19:03.84 (23);04:11:59.99 (47);06:40:00.00 (48);28:26:05.60;01:30:00.00 00:07:02.00;29:49:03.60 04:37:14.28 00:03:31.44;
;;;;;;;;;;;;;37;142;DANIEL TRECENTI (BRA) ANDRE BALLA (BRA) CAN-AM MAVERICK X3 HPS - HIGH PERFORMANCE SSV;(5)UT2;04:28:49.74 (44);04:09:54.49 (38);05:34:47.32 (48);05:21:15.68 (28);04:04:43.23 (33);06:10:00.00 (45);28:56:10.40;01:00:10.00 00:06:50.00;29:49:30.46 04:37:41.14 00:00:26.86;
