# EVENTO: Resultados Oficiais
# CAMPEONATO: Campeonato Brasileiro Rally Raid 2025
# RELATORIO: Geral - Motos e Quadriciclos
# DATA_EMISSAO: ACUMULADO ATÉ Dia 6: Petrolina/PE - Delmiro Gouveia/AL (1700.65km)
# STATUS: Resultados Oficiais
# CATEGORIA_GERAL: 

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;DIA 5;DIA 6;NO;COLUNA_4;COLUNA_9;COLUNA_13;COLUNA_15;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
30;"ALEXANDRE NAJAR (BRA)
YAMAHA WR 450F
SELF / TXAI";"05:11:10.67
(39)";"04:51:58.96
(37)";"05:39:46.63
(26)";"05:59:10.76
(35)";"04:50:29.12
(38)";30:15:29.80;"00:37:28.00
00:07:16.00";27;(8)MOV;"04:13:05.71
(17)";"30:45:41.85
05:26:38.67
00:08:32.63";;;;
31;"GABRIEL SOARES (BRA)
YAMAHA WR 450F
YAMAHA IMS RALLY TEAM";"04:08:08.46
(4)";"04:00:05.05
(5)";"07:10:00.00
(46)";"05:10:18.39
(4)";"06:40:00.00
(46)";28:40:12.50;"02:30:03.00
00:07:06.00";4;(8)MT1;"03:54:37.69
(3)";"31:03:09.59
05:44:06.41
00:17:27.74";;;;
32;"CHRISTIAN COSTANTINI (BRA)
HONDA CRF 250F
SELF / TXAI";"05:10:13.69
(38)";"05:00:13.23
(42)";"05:46:06.66
(35)";"05:55:33.03
(33)";"04:48:10.95
(37)";31:13:38.80;"00:02:24.00
00:07:01.00";20;(2)MBR;"04:28:44.30
(34)";"31:09:01.86
05:49:58.68
00:05:52.27";;;;
33;"HELIO PESSOA (BRA)
YAMAHA RAPTOR 700R
FIFTH AVENUE RACING";"04:54:42.52
(29)";"04:44:19.10
(32)";"06:45:15.00
(45)";"05:50:08.30
(26)";"04:34:11.07
(32)";31:07:10.60;"00:36:00.00
00:18:56.00";63;(2)QDA;"04:35:38.61
(37)";"31:24:14.60
06:05:11.42
00:15:12.74";;;;
34;"FELIPE DIAS VIANA (BRA)
YAMAHA RAPTOR 700R
VF RALLY TEAM";"05:14:34.97
(41)";"04:34:33.69
(26)";"05:52:57.56
(38)";"06:01:27.22
(37)";"05:10:00.00
(41)";32:06:37.80;"00:00:15.00
00:29:10.00";62;(3)QDA;"04:44:09.38
(40)";"31:37:42.82
06:18:39.64
00:13:28.22";;;;
35;"DANIEL FIGUEIREDO (BRA)
HUSQVARNA FE 450
DM WORKSHOP";"05:52:43.00
(47)";"04:49:34.80
(35)";"05:42:39.84
(31)";"06:05:34.17
(39)";"04:46:06.63
(36)";31:12:08.80;"00:33:00.00
00:07:17.00";48;(8)MT3;"04:21:13.37
(32)";"31:37:51.81
06:18:48.63
00:00:08.99";;;;
36;"ITACIR RABAIOLLI (BRA)
KAWASAKI KLX 450R
SELF / TXAI";"04:53:47.96
(28)";"05:31:00.06
(44)";"05:35:53.44
(25)";"05:42:34.95
(24)";"04:29:52.69
(30)";29:13:46.80;"04:34:07.00
00:06:53.00";49;(9)MT3;"07:27:51.76
(46)";"33:41:00.86
08:21:57.68
02:03:09.05";;;;
37;"CLAUDERSON LOPES (BRA)
HONDA CRF 450RX
SELF / TXAI";"05:22:56.12
(43)";"05:30:00.00
(43)";"06:40:00.00
(40)";"07:01:00.00
(44)";"05:02:30.33
(40)";32:25:10.00;"01:54:00.00
00:07:19.00";42;(9)MOV;"04:35:24.59
(36)";"34:11:51.04
08:52:47.86
00:30:50.18";;;;
38;"ALESSANDER LOURENCAO (BRA)
KAWASAKI KLX 450R
DM WORKSHOP";"05:52:51.00
(49)";"04:57:33.44
(41)";"05:45:02.30
(33)";"06:03:34.08
(38)";"06:40:00.00
(46)";32:06:53.00;"02:12:24.00
00:07:09.00";47;(10)MOV;"04:53:07.24
(41)";"34:12:08.06
08:53:04.88
00:00:17.02";;;;
39;"TOMAZ SANTOS (BRA)
BMW F900GS PRO
MSL MOTORSPORT";"05:52:41.00
(46)";"05:40:24.00
(46)";"06:40:00.00
(40)";"06:40:00.00
(40)";"05:10:00.00
(41)";32:36:43.30;"02:12:24.00
00:07:19.00";34;(9)MT1;"04:38:43.39
(38)";"34:41:48.39
09:22:45.21
00:29:40.33";;;;
40;"IZAC ANDRADE (BRA)
HONDA CRF 250F
DUST RALLY TEAM";"05:52:16.00
(45)";"06:00:00.00
(47)";"06:40:00.00
(40)";"06:40:00.00
(40)";"05:00:44.18
(39)";32:34:22.40;"02:30:03.00
00:07:44.00";21;(3)MBR;"04:43:41.29
(39)";"34:56:41.47
09:37:38.29
00:14:53.08";;;;
41;"RAFAEL KRUKOSKI (BRA)
DUCATI DESERT X
MSL MOTORSPORT";"05:56:45.00
(51)";"07:30:00.00
(52)";"06:40:00.00
(40)";"06:40:00.00
(40)";"05:10:00.00
(41)";32:50:00.00;"04:41:00.00
00:09:15.00";44;(11)MOV;"05:25:00.00
(43)";"37:21:45.00
12:02:41.82
02:25:03.53";;;;
42;"JOSEMAR FERRO (BRA)
KAWASAKI KLX 450R
DM WORKSHOP";"04:52:55.82
(27)";"06:30:00.00
(50)";"12:40:00.00
(51)";"05:42:08.84
(23)";"04:19:01.99
(21)";30:30:27.20;"08:00:00.00
00:10:00.00";33;(12)MOV;"04:16:20.58
(26)";"38:20:27.23
13:01:24.05
00:58:42.23";;;;
43;"DANILO SCHNETZLER (BRA)
DUCATI DESERT X
SELF / TXAI";"08:04:49.00
(52)";"05:32:00.00
(45)";"06:40:00.00
(40)";"06:40:00.00
(40)";"06:10:00.00
(44)";32:50:00.00;"05:44:34.00
00:07:45.00";37;(10)MT1;"05:20:00.00
(42)";"38:26:49.00
13:07:45.82
00:06:21.77";;;;
44;"THIAGO FEITOSA (BRA)
HONDA XR 300L TORNADO
SELF / TXAI";"05:12:41.27
(40)";"04:53:14.07
(39)";"05:48:53.29
(37)";"13:40:00.00
(47)";"04:35:01.92
(33)";31:14:20.70;"07:36:00.00
00:07:26.00";14;(4)MBR;"04:33:04.21
(35)";"38:42:54.76
13:23:51.58
00:16:05.76";;;;
45;"VICTOR STUDART (BRA)
YAMAHA RAPTOR 700R
VF RALLY TEAM";"05:09:09.12
(37)";"04:36:47.79
(29)";"05:34:47.40
(24)";"05:40:06.69
(22)";"11:40:00.00
(49)";31:19:42.00;"08:01:42.00
00:20:33.00";65;(4)QDA;"06:20:00.00
(44)";"39:00:51.00
13:41:47.82
00:17:56.24";;;;
46;"BRUNO CRIVILIN (BRA)
HONDA CRF 450RX
HONDA RACING";"04:07:09.26
(3)";"04:13:07.14
(9)";"04:58:42.14
(3)";"12:40:00.00
(46)";"03:36:18.56
(4)";28:01:25.10;"13:00:30.00
00:06:38.00";11;(7)MT2;"11:20:00.00
(47)";"40:55:17.10
15:36:13.92
01:54:26.10";;;;
47;"TIAGO FANTOZZI (BRA)
BMW F900GS PRO
PODUIM RACING";"13:50:00.00
(53)";"04:35:36.96
(28)";"05:32:32.36
(21)";"10:54:24.13
(45)";"04:27:35.03
(29)";30:09:20.20;"13:27:03.00
* * *";18;(11)MT1;"04:16:14.73
(25)";"43:36:23.21
18:17:20.03
02:41:06.11";;;;
48;"RAFAEL GAERTNER (BRA)
YAMAHA WR 450F
YAMAHA IMS BLU CRU RALLY TEAM";"04:50:12.55
(24)";"04:32:40.75
(25)";"07:40:00.00
(47)";"17:40:00.00
(48)";"04:36:18.44
(34)";31:10:10.70;"19:36:36.00
00:07:35.00";38;(13)MOV;"11:20:00.00
(47)";"50:39:11.74
25:20:08.56
07:02:48.53";;;;
49;"WESCLEY DUTRA (BRA)
YAMAHA RAPTOR 700R
QUADRI RACING";"04:58:29.96
(31)";"04:35:13.35
(27)";"07:40:00.00
(47)";"17:40:00.00
(48)";"11:40:00.00
(49)";31:59:57.30;"26:01:10.00
00:07:24.00";64;(5)QDA;"11:20:00.00
(47)";"57:53:43.31
32:34:40.13
07:14:31.57";;;;
50;"ADRIANO GALANTE (BRA)
DUCATI DESERT X
DM WORKSHOP / DUCATI";"05:54:29.72
(50)";"06:30:00.00
(50)";"07:40:00.00
(47)";"17:40:00.00
(48)";"11:40:00.00
(49)";32:51:41.70;"28:00:00.00
00:07:12.00";43;(14)MOV;"11:20:00.00
(47)";"60:44:29.72
35:25:26.54
02:50:46.41";;;;
51;"JANAINA SOUZA (BRA)
YAMAHA TENERE 700
YAMAHA IMS BLU CRU RALLY TEAM";(12)MT1;"05:41:51.36
(44)";"06:00:00.00
(47)";"08:40:00.00
(50)";"11:20:00.00
(47)";"11:40:00.00
(49)";32:38:13.30;13;;"17:40:00.00
(48)";"28:31:00.00
00:07:22.00";;;"61:01:51.36
35:42:48.18
00:17:21.64";
52;"MARCOS R MORAES (BRA)
YAMAHA WR 450F
YAMAHA IMS BLU CRU RALLY TEAM";(10)MT3;"04:35:39.07
(14)";"06:00:00.00
(47)";"12:40:00.00
(51)";"11:20:00.00
(47)";"11:40:00.00
(49)";31:59:28.00;35;;"17:40:00.00
(48)";"32:03:00.00
00:06:49.00";;;"63:55:39.07
38:36:35.89
02:53:47.71";
53;"EMERSON PEREIRA (BRA)
KAWASAKI KLX 450R
DM WORKSHOP";(11)MT3;"05:52:50.00
(48)";"11:30:00.00
(53)";"12:40:00.00
(51)";"11:20:00.00
(47)";"06:40:00.00
(46)";32:50:00.00;45;;"17:40:00.00
(48)";"33:00:00.00
00:07:10.00";;;"65:42:50.00
40:23:46.82
01:47:10.93";
