POS;NUM;PILOTO_INFO;DIA 1;DIA 2;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10
1;112;JUNIOR SIQUEIRA (SP) Polaris Rzr Pro R Cotton Racing/ Polaris Racing Brasil;01:32:34.77 (1);01:57:57.78 (3);03:54:53.55;03:30:32.55;(1)UT2;* * * 00:24:21.00;;;;;;;;;;
2;101;GUILHERME CYSNE (SP) Polaris Rzr Pro R Gc Rally Team / Peak Automotiva;01:33:21.03 (3);01:57:38.23 (1);03:55:34.26;03:30:59.26 00:00:26.71;(1)UTU;* * * 00:24:35.00;;;;;;;;;;
3;125;PEDRO BIANOR (MG) Can Am Maverick R Vn Maquinas;01:33:37.74 (5);01:57:41.42 (2);03:55:59.16;03:31:19.16 00:00:46.61 00:00:19.90;(1)UT1;* * * 00:24:40.00;;;;;;;;;;
4;111;NUNO FOJO (PRT) Polaris Rzr Pro R Polaris Factory Racing / Cotton Racing;01:33:18.37 (2);01:58:32.17 (6);03:57:07.54;03:31:50.54 00:01:17.99 00:00:31.38;(2)UT1;* * * 00:25:17.00;;;;;;;;;;
5;106;CONRADO MATSUMOTO (MS) Can Am Maverick R Cotton Racing;01:33:29.32 (4);01:58:28.11 (5);03:57:44.43;03:31:57.43 00:01:24.88 00:00:06.89;(2)UTU;* * * 00:25:47.00;;;;;;;;;;
6;135;ANDRE HORT (SC) Can Am Maverick R Mh Racing / Cotton Racing;01:34:48.33 (7);01:59:47.07 (8);03:59:57.40;03:34:35.40 00:04:02.85 00:02:37.97;(3)UTU;* * * 00:25:22.00;;;;;;;;;;
7;123;GUILHERME CAIO (SP) Can Am Maverick R Cotton Racing;01:35:09.93 (8);02:00:28.28 (10);04:00:18.21;03:35:38.21 00:05:05.66 00:01:02.81;(3)UT1;* * * 00:24:40.00;;;;;;;;;;
8;131;MARCOS MIOTTO (SP) Can Am Maverick R Dust Rally Team;01:35:51.01 (11);01:59:59.96 (9);04:02:24.97;03:35:50.97 00:05:18.42 00:00:12.76;(4)UTU;* * * 00:26:34.00;;;;;;;;;;
9;142;TOMAS LUZA (BA) Can Am Maverick X3 Cotton Racing;01:37:40.69 (21);01:58:24.43 (4);04:01:34.12;03:36:05.12 00:05:32.57 00:00:14.15;(5)UTU;* * * 00:25:29.00;;;;;;;;;;
;;;;;;;;;33;144;LEONARDO ISHIZUKA (SP) Can Am Maverick X3 Dust Rally Team;(3)U50;02:27:20.01 (39);02:17:16.33 (30);05:07:11.34;* * * 00:22:35.00;04:44:36.34 01:14:03.79 00:08:30.11;
;;;;;;;;;34;136;RODRIGO NOLL (SP) HUMBERTO RIBEIRO (PI) Can Am Maverick X3 Cotton Racing;(6)UDB;01:37:09.51 (19);03:10:00.00 (37);04:37:51.51;00:30:00.00 00:20:42.00;04:47:09.51 01:16:36.96 00:02:33.17;
;;;;;;;;;35;117;FABIO TREGANCINI (SP) Polaris Rzr Pro R Cotton Racing;(6)UT3;01:37:09.63 (20);03:10:00.00 (37);04:39:44.63;00:30:00.00 00:22:35.00;04:47:09.63 01:16:37.08 00:00:00.12;
;;;;;;;;;36;149;PABLO RODRIGUES (MG) Can Am Maverick X3 For Fun;(7)UT3;01:46:10.90 (36);03:10:00.00 (37);04:47:41.90;00:30:00.00 00:21:31.00;04:56:10.90 01:25:38.35 00:09:01.27;
;;;;;;;;;37;147;ANDRE REIS (PR) Can Am Maverick X3 -;(8)UT3;01:41:15.91 (29);03:40:00.00 (41);04:47:48.91;01:00:00.00 00:26:33.00;05:21:15.91 01:50:43.36 00:25:05.01;
;;;;;;;;;38;120;CAIO ABUJAMRA (SP) Polaris Rzr Pro R Gc Rally Team;(9)UT3;03:40:00.00 (42);02:02:44.69 (14);04:42:44.69;01:00:00.00 * * *;05:42:44.69 02:12:12.14 00:21:28.78;
;;;;;;;;;39;137;GUNTER HINKELMANN (SP) Polaris Rzr Pro R Msl Motorsport;(5)U55;01:35:48.67 (10);04:40:00.00 (42);04:39:26.67;02:00:00.00 00:23:38.00;06:15:48.67 02:45:16.12 00:33:03.98;
;;;;;;;;;40;119;DANIEL TRECENTI (SP) Can Am Maverick X3 Hps Racing;(4)UT2;01:38:50.78 (25);04:40:00.00 (42);04:44:56.78;02:00:00.00 00:26:06.00;06:18:50.78 02:48:18.23 00:03:02.11;
;;;;;;;;;41;148;PARLEY FIAMONCINI (SC) Can Am Maverick R 299 Racing Team;(8)UTU;03:10:00.00 (41);03:17:00.97 (40);04:43:53.97;01:43:07.00 * * *;06:27:00.97 02:56:28.42 00:08:10.19;
;;;;;;;;;42;152;ANDRE SIQUEIRA (SP) - Caca Leguas;(1)UST;04:11:58.62 (44);02:28:35.05 (35);04:10:47.67;02:46:14.00 00:16:28.00;06:40:33.67 03:10:01.12 00:13:32.70;
;;;;;;;;;43;128;JAVIER CASANOVA (SP) Can Am Maverick X3 Rally Brasil;;(10)UT3;04:40:00.00 (45);02:04:19.24 (17);04:44:19.24;02:00:00.00 * * *;06:44:19.24 03:13:46.69 00:03:45.57
;;;;;;;;;44;118;VANDERLEI RABI (SP) Polaris Rzr Pro R Cotton Racing;;(5)UT2;01:37:59.84 (22);06:40:00.00 (44);05:00:36.84;04:00:00.00 00:42:37.00;08:17:59.84 04:47:27.29 01:33:40.60
;;;;;;;;;45;103;VINICIUS CASTRO (BA) Polaris Rzr Pro R C3 Racing;;(6)UT1;03:40:00.00 (42);06:40:00.00 (44);05:20:00.00;05:00:00.00 * * *;10:20:00.00 06:49:27.45 02:02:00.16
