# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-D4-Acumulado-UTV_Geral-RN25-v1.pdf
# INFO_GERAL: XXVII RALLY RN 1500 11/04/2025 - 20:01:41 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ DIA 4: Currais Novos/RN - Sao Miguel do Gostoso/RN (834.82km) Geral UTV | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12
1;103;BRUNO VARELA ARI FIUZA Can-Am Maverick R Varela Can-Am Monster Energy Rally Team;03:22:50.76 (1);03:38:35.37 (1);02:39:09.14 (3);13:55:36.54;12:19:48.54;(1)UTU;02:39:13.27 (4);* * * 01:35:48.00;;;;;;;;;;;;
2;101;DENISIO DO NASCIMENTO GUNNAR DUMS Can-Am Maverick R Bompack Racing;03:24:56.96 (2);03:40:47.30 (3);02:36:06.70 (1);14:05:19.80;12:27:52.80 00:08:04.26;(2)UTU;02:46:01.84 (18);* * * 01:37:27.00;;;;;;;;;;;;
3;102;RODRIGO VARELA MATHEUS MAZZEI Can-Am Maverick R Varela Can-Am Monster Energy Rally Team;03:29:32.95 (12);03:39:48.14 (2);02:56:52.69 (38);14:11:17.62;12:41:24.62 00:21:36.08 00:13:31.82;(3)UTU;02:35:10.84 (1);* * * 01:29:53.00;;;;;;;;;;;;
;;;;;;;;;;;51;137;TATA XAVIER NEURIVAN CALADO Polaris RZR Pro R Cotton Racing;(8)UT1;09:50:00.00 (68);03:47:28.80 (17);02:45:59.08 (19);02:43:19.12 (12);16:03:36.00;04:30:00.00 01:26:49.00;19:06:47.00 06:46:58.46 00:01:45.29;
;;;;;;;;;;;52;104;TOMAS LUZA FLAVIO FRANCA Can-Am Maverick R Cotton Racing;(13)UTU;03:28:19.61 (6);03:53:22.49 (34);02:38:58.37 (2);09:15:00.00 (59);15:20:40.47;03:55:00.00 * * *;19:15:40.47 06:55:51.93 00:08:53.47;
;;;;;;;;;;;53;117;BRUNO CONTI JHONATAN ARDIGO Can-Am Maverick R Luppi Racing Team;(14)UTU;03:34:07.36 (23);03:46:53.51 (15);02:41:52.33 (6);10:00:00.00 (63);15:34:03.20;04:30:00.00 00:01:10.00;20:02:53.20 07:43:04.66 00:47:12.73;
;;;;;;;;;;;54;125;THIAGO TORRES EDUARDO SHIGA Can-Am Maverick R T+A Rally Team;(9)UT1;03:31:01.32 (15);03:50:29.46 (28);02:43:12.32 (12);10:00:00.00 (63);15:34:43.10;04:30:00.00 * * *;20:04:43.10 07:44:54.56 00:01:49.90;
;;;;;;;;;;;55;153;GABRIEL VARELA MICHAEL MASON Can-Am Maverick R Varela Can-Am Monster Energy Rally Team;(10)UT1;03:29:27.58 (11);11:30:00.00 (69);02:39:37.26 (4);02:41:23.46 (8);15:26:02.30;06:30:00.00 01:35:34.00;20:20:28.30 08:00:39.76 00:15:45.20;
;;;;;;;;;;;56;147;JOSE SAWAYA DALMO GERGANTIN Can-Am Maverick R Cotton Racing;(11)UOP;03:49:00.41 (46);05:27:19.79 (57);03:02:01.08 (46);09:15:00.00 (59);16:48:21.28;04:45:00.00 * * *;21:33:21.28 09:13:32.74 01:12:52.98;
;;;;;;;;;;;57;106;JOSE HELIO RAMON SACILOTTI Can-Am Maverick R Hps Racing;(15)UTU;03:35:45.15 (29);03:43:09.47 (6);12:10:00.00 (68);02:45:41.70 (15);15:40:30.32;08:00:00.00 01:25:54.00;22:14:36.32 09:54:47.78 00:41:15.04;
;;;;;;;;;;;58;119;ANDRE HORT MARCELO RITTER Can-Am Maverick R Hps Racing;(16)UTU;03:27:47.19 (5);03:46:02.12 (13);07:10:00.00 (55);08:30:00.00 (56);16:53:49.31;06:00:00.00 * * *;22:53:49.31 10:34:00.77 00:39:12.99;
;;;;;;;;;;;59;112;FABIO PIRONDI ENIO BOZZANO Can-Am Maverick R Mrp Performance;;(17)UTU;03:25:19.63 (3);03:44:02.75 (9);07:55:00.00 (58);08:30:00.00 (56);16:52:07.38;06:45:00.00 00:02:45.00;23:34:22.38 11:14:33.84 00:40:33.07
;;;;;;;;;;;60;143;RODRIGO BIANCHINI FABIO ZELLER Can-Am Maverick X3 Erp;;(7)UT2;03:38:52.35 (37);08:00:00.00 (60);02:50:38.81 (26);09:15:00.00 (59);16:59:31.16;06:45:00.00 * * *;23:44:31.16 11:24:42.62 00:10:08.78
;;;;;;;;;;;61;161;FERNANDO HENRIQUE VALERIANO WILLIAN DE SOUZA Can-Am Maverick X3 Box Advendute;;(9)UT3;09:05:00.00 (63);09:30:00.00 (64);03:08:35.11 (51);03:15:28.83 (53);18:07:47.94;08:17:30.00 01:26:14.00;24:59:03.94 12:39:15.40 01:14:32.78
;;;;;;;;;;;62;164;AUGUSTO CESAR SAVIO AZEVEDO Can-Am Maverick X3 Planet Racing;;(10)UT3;09:05:00.00 (63);04:00:34.67 (44);08:40:00.00 (64);03:15:36.90 (54);18:04:53.57;08:17:06.00 01:20:48.00;25:01:11.57 12:41:23.03 00:02:07.63
;;;;;;;;;;;63;120;RODRIGO LUPPI MAYKEL JUSTO Can-Am Maverick R Luppi Racing Team;;(18)UTU;03:35:41.71 (27);03:42:40.11 (5);08:40:00.00 (64);09:15:00.00 (59);16:58:21.82;08:15:00.00 * * *;25:13:21.82 12:53:33.28 00:12:10.25
;;;;;;;;;;;64;159;ALLAN OLIVEIRA BRUNO LIMA Polaris RZR Pro R C3 Racing/Avant;;(11)UT3;09:05:00.00 (63);03:53:26.59 (35);02:46:48.27 (21);10:00:00.00 (63);17:30:14.86;08:15:00.00 * * *;25:45:14.86 13:25:26.32 00:31:53.04
;;;;;;;;;;;65;144;LEANDRO MOKFA GABRIEL DALL AGNOL Can-Am Maverick R Dango Racing;;(12)UOP;03:31:51.66 (16);03:49:49.77 (26);07:55:00.00 (58);13:30:00.00 (68);17:01:41.43;11:45:00.00 * * *;28:46:41.43 16:26:52.89 03:01:26.57
;;;;;;;;;;;66;132;DIOGO DE MESQUITA ARTUR CARVALHO JR Can-Am Maverick R Kaddo Racing;;(11)UT1;09:50:00.00 (68);08:45:00.00 (63);02:46:55.74 (22);08:30:00.00 (56);18:36:55.74;11:15:00.00 * * *;29:51:55.74 17:32:07.20 01:05:14.31
;;;;;;;;;;;67;169;BRUNO MENEZES GUSTAVO MENELAU Polaris RZR Pro R Papai Racing;;(12)UT3;03:50:23.04 (47);09:30:00.00 (64);07:55:00.00 (58);10:00:00.00 (63);18:30:23.04;12:45:00.00 * * *;31:15:23.04 18:55:34.50 01:23:27.30
;;;;;;;;;;;68;163;MARYO KEMPES HIGOR SILVA Can-Am Maverick X3 Papai Racing;;(13)UT3;04:02:28.69 (53);09:30:00.00 (64);08:40:00.00 (64);10:00:00.00 (63);18:42:28.69;13:30:00.00 * * *;32:12:28.69 19:52:40.15 00:57:05.65
;;;;;;;;;;;69;109;LEONARDO BELEZA SOLON MENDES Polaris RZR Pro R Cotton Racing;;(8)UT2;08:20:00.00 (59);08:00:00.00 (60);12:10:00.00 (68);13:30:00.00 (68);20:00:00.00;22:00:00.00 * * *;42:00:00.00 29:40:11.46 09:47:31.31
